,name of dissemination case,number of bikes,duration,name of map,seed
0,SimulationMode.K_ZERO,2,33326,Mapsize.SMALL,10
1,SimulationMode.K_ONE,2,41557,Mapsize.SMALL,10
2,SimulationMode.K_TWO,2,28768,Mapsize.SMALL,10
3,SimulationMode.K_TREE,2,undetermined,Mapsize.SMALL,10
4,SimulationMode.K_ZERO,2,undetermined,Mapsize.MEDIUMSMALL,10
5,SimulationMode.K_ONE,2,undetermined,Mapsize.MEDIUMSMALL,10
6,SimulationMode.K_TWO,2,undetermined,Mapsize.MEDIUMSMALL,10
7,SimulationMode.K_TREE,2,undetermined,Mapsize.MEDIUMSMALL,10
8,SimulationMode.K_ZERO,2,undetermined,Mapsize.MEDIUM,10
9,SimulationMode.K_ONE,2,undetermined,Mapsize.MEDIUM,10
10,SimulationMode.K_TWO,2,undetermined,Mapsize.MEDIUM,10
11,SimulationMode.K_TREE,2,undetermined,Mapsize.MEDIUM,10
12,SimulationMode.K_ZERO,3,21570,Mapsize.SMALL,10
13,SimulationMode.K_ONE,3,14972,Mapsize.SMALL,10
14,SimulationMode.K_TWO,3,27017,Mapsize.SMALL,10
15,SimulationMode.K_TREE,3,31377,Mapsize.SMALL,10
16,SimulationMode.K_ZERO,3,undetermined,Mapsize.MEDIUMSMALL,10
17,SimulationMode.K_ONE,3,undetermined,Mapsize.MEDIUMSMALL,10
18,SimulationMode.K_TWO,3,undetermined,Mapsize.MEDIUMSMALL,10
19,SimulationMode.K_TREE,3,undetermined,Mapsize.MEDIUMSMALL,10
20,SimulationMode.K_ZERO,3,undetermined,Mapsize.MEDIUM,10
21,SimulationMode.K_ONE,3,undetermined,Mapsize.MEDIUM,10
22,SimulationMode.K_TWO,3,undetermined,Mapsize.MEDIUM,10
23,SimulationMode.K_TREE,3,undetermined,Mapsize.MEDIUM,10
24,SimulationMode.K_ZERO,4,17147,Mapsize.SMALL,10
25,SimulationMode.K_ONE,4,14197,Mapsize.SMALL,10
26,SimulationMode.K_TWO,4,15596,Mapsize.SMALL,10
27,SimulationMode.K_TREE,4,16119,Mapsize.SMALL,10
28,SimulationMode.K_ZERO,4,undetermined,Mapsize.MEDIUMSMALL,10
29,SimulationMode.K_ONE,4,undetermined,Mapsize.MEDIUMSMALL,10
30,SimulationMode.K_TWO,4,undetermined,Mapsize.MEDIUMSMALL,10
31,SimulationMode.K_TREE,4,undetermined,Mapsize.MEDIUMSMALL,10
32,SimulationMode.K_ZERO,4,undetermined,Mapsize.MEDIUM,10
33,SimulationMode.K_ONE,4,undetermined,Mapsize.MEDIUM,10
34,SimulationMode.K_TWO,4,undetermined,Mapsize.MEDIUM,10
35,SimulationMode.K_TREE,4,undetermined,Mapsize.MEDIUM,10
36,SimulationMode.K_ZERO,5,10746,Mapsize.SMALL,10
37,SimulationMode.K_ONE,5,12081,Mapsize.SMALL,10
38,SimulationMode.K_TWO,5,10049,Mapsize.SMALL,10
39,SimulationMode.K_TREE,5,12676,Mapsize.SMALL,10
40,SimulationMode.K_ZERO,5,undetermined,Mapsize.MEDIUMSMALL,10
41,SimulationMode.K_ONE,5,undetermined,Mapsize.MEDIUMSMALL,10
42,SimulationMode.K_TWO,5,undetermined,Mapsize.MEDIUMSMALL,10
43,SimulationMode.K_TREE,5,undetermined,Mapsize.MEDIUMSMALL,10
44,SimulationMode.K_ZERO,5,undetermined,Mapsize.MEDIUM,10
45,SimulationMode.K_ONE,5,undetermined,Mapsize.MEDIUM,10
46,SimulationMode.K_TWO,5,undetermined,Mapsize.MEDIUM,10
47,SimulationMode.K_TREE,5,undetermined,Mapsize.MEDIUM,10
48,SimulationMode.K_ZERO,6,8538,Mapsize.SMALL,10
49,SimulationMode.K_ONE,6,7465,Mapsize.SMALL,10
50,SimulationMode.K_TWO,6,6787,Mapsize.SMALL,10
51,SimulationMode.K_TREE,6,11865,Mapsize.SMALL,10
52,SimulationMode.K_ZERO,6,undetermined,Mapsize.MEDIUMSMALL,10
53,SimulationMode.K_ONE,6,undetermined,Mapsize.MEDIUMSMALL,10
54,SimulationMode.K_TWO,6,undetermined,Mapsize.MEDIUMSMALL,10
55,SimulationMode.K_TREE,6,undetermined,Mapsize.MEDIUMSMALL,10
56,SimulationMode.K_ZERO,6,undetermined,Mapsize.MEDIUM,10
57,SimulationMode.K_ONE,6,undetermined,Mapsize.MEDIUM,10
58,SimulationMode.K_TWO,6,undetermined,Mapsize.MEDIUM,10
59,SimulationMode.K_TREE,6,undetermined,Mapsize.MEDIUM,10
60,SimulationMode.K_ZERO,7,6806,Mapsize.SMALL,10
61,SimulationMode.K_ONE,7,5829,Mapsize.SMALL,10
62,SimulationMode.K_TWO,7,7435,Mapsize.SMALL,10
63,SimulationMode.K_TREE,7,9329,Mapsize.SMALL,10
64,SimulationMode.K_ZERO,7,undetermined,Mapsize.MEDIUMSMALL,10
65,SimulationMode.K_ONE,7,undetermined,Mapsize.MEDIUMSMALL,10
