,name of dissemination case,number of bikes,duration,name of map,seed,roads
0,SimulationMode.K_ZERO,1,undetermined,Mapsize.SMALL,10,372
1,SimulationMode.K_ONE,1,undetermined,Mapsize.SMALL,10,372
2,SimulationMode.K_TWO,1,undetermined,Mapsize.SMALL,10,372
3,SimulationMode.K_TREE,1,undetermined,Mapsize.SMALL,10,372
0,SimulationMode.K_ZERO,2,42614,Mapsize.SMALL,10,372
1,SimulationMode.K_ONE,2,31401,Mapsize.SMALL,10,372
2,SimulationMode.K_TWO,2,38100,Mapsize.SMALL,10,372
3,SimulationMode.K_TREE,2,36543,Mapsize.SMALL,10,372
4,SimulationMode.K_ZERO,3,24220,Mapsize.SMALL,10,372
5,SimulationMode.K_ONE,3,17882,Mapsize.SMALL,10,372
6,SimulationMode.K_TWO,3,21390,Mapsize.SMALL,10,372
7,SimulationMode.K_TREE,3,23034,Mapsize.SMALL,10,372
8,SimulationMode.K_ZERO,4,12573,Mapsize.SMALL,10,372
9,SimulationMode.K_ONE,4,12737,Mapsize.SMALL,10,372
10,SimulationMode.K_TWO,4,13811,Mapsize.SMALL,10,372
11,SimulationMode.K_TREE,4,12063,Mapsize.SMALL,10,372
12,SimulationMode.K_ZERO,5,15043,Mapsize.SMALL,10,372
13,SimulationMode.K_ONE,5,8247,Mapsize.SMALL,10,372
14,SimulationMode.K_TWO,5,13144,Mapsize.SMALL,10,372
15,SimulationMode.K_TREE,5,9893,Mapsize.SMALL,10,372
16,SimulationMode.K_ZERO,6,9087,Mapsize.SMALL,10,372
17,SimulationMode.K_ONE,6,8630,Mapsize.SMALL,10,372
18,SimulationMode.K_TWO,6,6617,Mapsize.SMALL,10,372
19,SimulationMode.K_TREE,6,7247,Mapsize.SMALL,10,372
20,SimulationMode.K_ZERO,8,5482,Mapsize.SMALL,10,372
21,SimulationMode.K_ONE,8,5326,Mapsize.SMALL,10,372
22,SimulationMode.K_TWO,8,6836,Mapsize.SMALL,10,372
23,SimulationMode.K_TREE,8,5782,Mapsize.SMALL,10,372
24,SimulationMode.K_ZERO,10,7700,Mapsize.SMALL,10,372
