,name of dissemination case,number of bikes,duration,name of map,seed
0,SimulationMode.K_ZERO,2,undetermined,Mapsize.SMALL2,10
1,SimulationMode.K_ONE,2,undetermined,Mapsize.SMALL2,10
2,SimulationMode.K_TWO,2,undetermined,Mapsize.SMALL2,10
3,SimulationMode.K_TREE,2,42062,Mapsize.SMALL2,10
4,SimulationMode.K_ZERO,3,22768,Mapsize.SMALL2,10
5,SimulationMode.K_ONE,3,24881,Mapsize.SMALL2,10
6,SimulationMode.K_TWO,3,33767,Mapsize.SMALL2,10
7,SimulationMode.K_TREE,3,24388,Mapsize.SMALL2,10
8,SimulationMode.K_ZERO,4,18163,Mapsize.SMALL2,10
9,SimulationMode.K_ONE,4,24781,Mapsize.SMALL2,10
10,SimulationMode.K_TWO,4,19164,Mapsize.SMALL2,10
11,SimulationMode.K_TREE,4,22375,Mapsize.SMALL2,10
12,SimulationMode.K_ZERO,5,18949,Mapsize.SMALL2,10
13,SimulationMode.K_ONE,5,21591,Mapsize.SMALL2,10
14,SimulationMode.K_TWO,5,17742,Mapsize.SMALL2,10
15,SimulationMode.K_TREE,5,16785,Mapsize.SMALL2,10
16,SimulationMode.K_ZERO,6,12346,Mapsize.SMALL2,10
17,SimulationMode.K_ONE,6,12286,Mapsize.SMALL2,10
18,SimulationMode.K_TWO,6,11373,Mapsize.SMALL2,10
19,SimulationMode.K_TREE,6,18394,Mapsize.SMALL2,10
20,SimulationMode.K_ZERO,8,13736,Mapsize.SMALL2,10
21,SimulationMode.K_ONE,8,11655,Mapsize.SMALL2,10
22,SimulationMode.K_TWO,8,10700,Mapsize.SMALL2,10
23,SimulationMode.K_TREE,8,13672,Mapsize.SMALL2,10
24,SimulationMode.K_ZERO,10,9103,Mapsize.SMALL2,10
25,SimulationMode.K_ONE,10,12324,Mapsize.SMALL2,10
26,SimulationMode.K_TWO,10,9760,Mapsize.SMALL2,10
27,SimulationMode.K_TREE,10,9194,Mapsize.SMALL2,10
28,SimulationMode.K_ZERO,12,6562,Mapsize.SMALL2,10
29,SimulationMode.K_ONE,12,8064,Mapsize.SMALL2,10
30,SimulationMode.K_TWO,12,5853,Mapsize.SMALL2,10
31,SimulationMode.K_TREE,12,6423,Mapsize.SMALL2,10
32,SimulationMode.K_ZERO,16,5334,Mapsize.SMALL2,10
33,SimulationMode.K_ONE,16,8524,Mapsize.SMALL2,10
34,SimulationMode.K_TWO,16,6028,Mapsize.SMALL2,10
35,SimulationMode.K_TREE,16,4659,Mapsize.SMALL2,10
36,SimulationMode.K_ZERO,20,3788,Mapsize.SMALL2,10
37,SimulationMode.K_ONE,20,3562,Mapsize.SMALL2,10
38,SimulationMode.K_TWO,20,4134,Mapsize.SMALL2,10
39,SimulationMode.K_TREE,20,4296,Mapsize.SMALL2,10
40,SimulationMode.K_ZERO,25,4017,Mapsize.SMALL2,10
41,SimulationMode.K_ONE,25,2003,Mapsize.SMALL2,10
42,SimulationMode.K_TWO,25,2665,Mapsize.SMALL2,10
43,SimulationMode.K_TREE,25,4182,Mapsize.SMALL2,10
44,SimulationMode.K_ZERO,2,undetermined,Mapsize.SMALL2,11
45,SimulationMode.K_ONE,2,undetermined,Mapsize.SMALL2,11
46,SimulationMode.K_TWO,2,43168,Mapsize.SMALL2,11
47,SimulationMode.K_TREE,2,undetermined,Mapsize.SMALL2,11
48,SimulationMode.K_ZERO,3,29644,Mapsize.SMALL2,11
49,SimulationMode.K_ONE,3,undetermined,Mapsize.SMALL2,11
50,SimulationMode.K_TWO,3,24374,Mapsize.SMALL2,11
51,SimulationMode.K_TREE,3,33688,Mapsize.SMALL2,11
52,SimulationMode.K_ZERO,4,24632,Mapsize.SMALL2,11
53,SimulationMode.K_ONE,4,29139,Mapsize.SMALL2,11
54,SimulationMode.K_TWO,4,18395,Mapsize.SMALL2,11
55,SimulationMode.K_TREE,4,21883,Mapsize.SMALL2,11
56,SimulationMode.K_ZERO,5,18845,Mapsize.SMALL2,11
57,SimulationMode.K_ONE,5,16894,Mapsize.SMALL2,11
58,SimulationMode.K_TWO,5,12396,Mapsize.SMALL2,11
59,SimulationMode.K_TREE,5,20641,Mapsize.SMALL2,11
60,SimulationMode.K_ZERO,6,15380,Mapsize.SMALL2,11
