,name of dissemination case,number of bikes,name of map,seed,double data recieved,total data recieved
0,SimulationMode.K_ZERO,5,Mapsize.SMALL,10,9912,13134
1,SimulationMode.K_ONE,5,Mapsize.SMALL,10,6353,9550
2,SimulationMode.K_TWO,5,Mapsize.SMALL,10,10621,13956
3,SimulationMode.K_TREE,5,Mapsize.SMALL,10,7350,9799
4,SimulationMode.Surrounding,5,Mapsize.SMALL,10,6094,8571
5,SimulationMode.K_ZERO,6,Mapsize.SMALL,10,20436,25407
6,SimulationMode.K_ONE,6,Mapsize.SMALL,10,11997,16666
7,SimulationMode.K_TWO,6,Mapsize.SMALL,10,28391,33619
8,SimulationMode.K_TREE,6,Mapsize.SMALL,10,16535,20635
9,SimulationMode.Surrounding,6,Mapsize.SMALL,10,17100,21226
10,SimulationMode.K_ZERO,8,Mapsize.SMALL,10,48240,57223
11,SimulationMode.K_ONE,8,Mapsize.SMALL,10,49815,58930
12,SimulationMode.K_TWO,8,Mapsize.SMALL,10,48692,57232
13,SimulationMode.K_TREE,8,Mapsize.SMALL,10,51354,59396
14,SimulationMode.Surrounding,8,Mapsize.SMALL,10,52019,60720
15,SimulationMode.K_ZERO,5,Mapsize.SMALL,11,7963,11112
16,SimulationMode.K_ONE,5,Mapsize.SMALL,11,7456,10760
17,SimulationMode.K_TWO,5,Mapsize.SMALL,11,6521,9553
18,SimulationMode.K_TREE,5,Mapsize.SMALL,11,6603,9034
19,SimulationMode.Surrounding,5,Mapsize.SMALL,11,8937,11644
20,SimulationMode.K_ZERO,6,Mapsize.SMALL,11,18266,23250
21,SimulationMode.K_ONE,6,Mapsize.SMALL,11,13964,18833
22,SimulationMode.K_TWO,6,Mapsize.SMALL,11,16404,21025
23,SimulationMode.K_TREE,6,Mapsize.SMALL,11,12682,16233
24,SimulationMode.Surrounding,6,Mapsize.SMALL,11,32187,36798
25,SimulationMode.K_ZERO,8,Mapsize.SMALL,11,42357,52149
26,SimulationMode.K_ONE,8,Mapsize.SMALL,11,42136,50735
27,SimulationMode.K_TWO,8,Mapsize.SMALL,11,42788,51434
28,SimulationMode.K_TREE,8,Mapsize.SMALL,11,46103,53493
29,SimulationMode.Surrounding,8,Mapsize.SMALL,11,60326,68731
30,SimulationMode.K_ZERO,5,Mapsize.SMALL,12,13793,17512
31,SimulationMode.K_ONE,5,Mapsize.SMALL,12,9567,12839
32,SimulationMode.K_TWO,5,Mapsize.SMALL,12,7237,10030
33,SimulationMode.K_TREE,5,Mapsize.SMALL,12,6395,8658
34,SimulationMode.Surrounding,5,Mapsize.SMALL,12,15203,18365
35,SimulationMode.K_ZERO,6,Mapsize.SMALL,12,19995,25292
36,SimulationMode.K_ONE,6,Mapsize.SMALL,12,15051,19833
37,SimulationMode.K_TWO,6,Mapsize.SMALL,12,17983,22389
38,SimulationMode.K_TREE,6,Mapsize.SMALL,12,14757,18735
39,SimulationMode.Surrounding,6,Mapsize.SMALL,12,21419,25641
40,SimulationMode.K_ZERO,8,Mapsize.SMALL,12,59394,69534
41,SimulationMode.K_ONE,8,Mapsize.SMALL,12,62442,72190
42,SimulationMode.K_TWO,8,Mapsize.SMALL,12,54716,63939
43,SimulationMode.K_TREE,8,Mapsize.SMALL,12,54028,62060
44,SimulationMode.Surrounding,8,Mapsize.SMALL,12,63330,72135
45,SimulationMode.K_ZERO,5,Mapsize.SMALL,13,7917,11037
46,SimulationMode.K_ONE,5,Mapsize.SMALL,13,11870,15394
47,SimulationMode.K_TWO,5,Mapsize.SMALL,13,9869,12979
48,SimulationMode.K_TREE,5,Mapsize.SMALL,13,7839,10369
49,SimulationMode.Surrounding,5,Mapsize.SMALL,13,12138,14993
50,SimulationMode.K_ZERO,6,Mapsize.SMALL,13,12367,17347
51,SimulationMode.K_ONE,6,Mapsize.SMALL,13,13894,18546
52,SimulationMode.K_TWO,6,Mapsize.SMALL,13,31975,37707
53,SimulationMode.K_TREE,6,Mapsize.SMALL,13,12082,15550
54,SimulationMode.Surrounding,6,Mapsize.SMALL,13,27430,32177
55,SimulationMode.K_ZERO,8,Mapsize.SMALL,13,46184,55412
56,SimulationMode.K_ONE,8,Mapsize.SMALL,13,59786,69207
57,SimulationMode.K_TWO,8,Mapsize.SMALL,13,44302,52690
58,SimulationMode.K_TREE,8,Mapsize.SMALL,13,38664,46062
59,SimulationMode.Surrounding,8,Mapsize.SMALL,13,46201,54475
60,SimulationMode.K_ZERO,5,Mapsize.SMALL,14,11161,14689
61,SimulationMode.K_ONE,5,Mapsize.SMALL,14,6823,9787
62,SimulationMode.K_TWO,5,Mapsize.SMALL,14,8660,11476
63,SimulationMode.K_TREE,5,Mapsize.SMALL,14,10426,13347
64,SimulationMode.Surrounding,5,Mapsize.SMALL,14,10359,13129
65,SimulationMode.K_ZERO,6,Mapsize.SMALL,14,25947,31377
66,SimulationMode.K_ONE,6,Mapsize.SMALL,14,20937,26430
67,SimulationMode.K_TWO,6,Mapsize.SMALL,14,18599,23361
68,SimulationMode.K_TREE,6,Mapsize.SMALL,14,17089,21004
69,SimulationMode.Surrounding,6,Mapsize.SMALL,14,31807,36906
70,SimulationMode.K_ZERO,8,Mapsize.SMALL,14,52080,61524
71,SimulationMode.K_ONE,8,Mapsize.SMALL,14,53742,62994
72,SimulationMode.K_TWO,8,Mapsize.SMALL,14,37233,45847
73,SimulationMode.K_TREE,8,Mapsize.SMALL,14,41981,49869
74,SimulationMode.Surrounding,8,Mapsize.SMALL,14,60787,69572
