,name of dissemination case,number of bikes,name of map,seed,collective data collection in area,collected by bike_,Percentage belonging to bike,size of subarea (# edges),size of total map (# edges)
0,SimulationMode.K_ZERO,2,Mapsize.SMALL2,10,112,71,63.4,74,372
1,SimulationMode.K_ONE,2,Mapsize.SMALL2,10,116,72,62.1,74,372
2,SimulationMode.K_TWO,2,Mapsize.SMALL2,10,113,73,64.6,74,372
3,SimulationMode.K_TREE,2,Mapsize.SMALL2,10,128,72,56.2,74,372
4,SimulationMode.K_ZERO,3,Mapsize.SMALL2,10,160,71,44.4,74,372
5,SimulationMode.K_ONE,3,Mapsize.SMALL2,10,166,74,44.6,74,372
6,SimulationMode.K_TWO,3,Mapsize.SMALL2,10,170,72,42.4,74,372
7,SimulationMode.K_TREE,3,Mapsize.SMALL2,10,176,72,40.9,74,372
8,SimulationMode.K_ZERO,4,Mapsize.SMALL2,10,226,74,32.7,74,372
9,SimulationMode.K_ONE,4,Mapsize.SMALL2,10,211,74,35.1,74,372
10,SimulationMode.K_TWO,4,Mapsize.SMALL2,10,216,70,32.4,74,372
11,SimulationMode.K_TREE,4,Mapsize.SMALL2,10,228,73,32.0,74,372
12,SimulationMode.K_ZERO,5,Mapsize.SMALL2,10,264,72,27.3,74,372
13,SimulationMode.K_ONE,5,Mapsize.SMALL2,10,254,72,28.3,74,372
14,SimulationMode.K_TWO,5,Mapsize.SMALL2,10,264,73,27.7,74,372
15,SimulationMode.K_TREE,5,Mapsize.SMALL2,10,264,71,26.9,74,372
16,SimulationMode.K_ZERO,6,Mapsize.SMALL2,10,312,73,23.4,74,372
17,SimulationMode.K_ONE,6,Mapsize.SMALL2,10,324,74,22.8,74,372
18,SimulationMode.K_TWO,6,Mapsize.SMALL2,10,318,73,23.0,74,372
19,SimulationMode.K_TREE,6,Mapsize.SMALL2,10,299,73,24.4,74,372
20,SimulationMode.K_ZERO,8,Mapsize.SMALL2,10,393,71,18.1,74,372
21,SimulationMode.K_ONE,8,Mapsize.SMALL2,10,363,74,20.4,74,372
22,SimulationMode.K_TWO,8,Mapsize.SMALL2,10,402,73,18.2,74,372
23,SimulationMode.K_TREE,8,Mapsize.SMALL2,10,408,72,17.6,74,372
24,SimulationMode.K_ZERO,10,Mapsize.SMALL2,10,486,73,15.0,74,372
25,SimulationMode.K_ONE,10,Mapsize.SMALL2,10,488,71,14.5,74,372
26,SimulationMode.K_TWO,10,Mapsize.SMALL2,10,492,72,14.6,74,372
27,SimulationMode.K_TREE,10,Mapsize.SMALL2,10,485,74,15.3,74,372
28,SimulationMode.K_ZERO,12,Mapsize.SMALL2,10,553,71,12.8,74,372
29,SimulationMode.K_ONE,12,Mapsize.SMALL2,10,585,73,12.5,74,372
30,SimulationMode.K_TWO,12,Mapsize.SMALL2,10,585,73,12.5,74,372
31,SimulationMode.K_TREE,12,Mapsize.SMALL2,10,559,71,12.7,74,372
32,SimulationMode.K_ZERO,16,Mapsize.SMALL2,10,758,73,9.6,74,372
33,SimulationMode.K_ONE,16,Mapsize.SMALL2,10,751,72,9.6,74,372
34,SimulationMode.K_TWO,16,Mapsize.SMALL2,10,763,74,9.7,74,372
35,SimulationMode.K_TREE,16,Mapsize.SMALL2,10,764,74,9.7,74,372
