,name of dissemination case,number of bikes,name of map,seed,collective data collection in area,collected by bike_,Percentage belonging to bike,size of subarea (# edges),size of total map (# edges)
0,SimulationMode.K_ZERO,2,Mapsize.SMALL,10,64,43,67.2,44,302
1,SimulationMode.K_ONE,2,Mapsize.SMALL,10,67,44,65.7,44,302
2,SimulationMode.K_TWO,2,Mapsize.SMALL,10,72,43,59.7,44,302
3,SimulationMode.K_TREE,2,Mapsize.SMALL,10,71,43,60.6,44,302
4,SimulationMode.K_ZERO,3,Mapsize.SMALL,10,98,44,44.9,44,302
5,SimulationMode.K_ONE,3,Mapsize.SMALL,10,99,43,43.4,44,302
6,SimulationMode.K_TWO,3,Mapsize.SMALL,10,108,43,39.8,44,302
7,SimulationMode.K_TREE,3,Mapsize.SMALL,10,92,43,46.7,44,302
8,SimulationMode.K_ZERO,4,Mapsize.SMALL,10,120,44,36.7,44,302
9,SimulationMode.K_ONE,4,Mapsize.SMALL,10,122,44,36.1,44,302
10,SimulationMode.K_TWO,4,Mapsize.SMALL,10,107,43,40.2,44,302
11,SimulationMode.K_TREE,4,Mapsize.SMALL,10,128,44,34.4,44,302
12,SimulationMode.K_ZERO,5,Mapsize.SMALL,10,166,44,26.5,44,302
13,SimulationMode.K_ONE,5,Mapsize.SMALL,10,165,43,26.1,44,302
14,SimulationMode.K_TWO,5,Mapsize.SMALL,10,159,44,27.7,44,302
15,SimulationMode.K_TREE,5,Mapsize.SMALL,10,167,44,26.3,44,302
16,SimulationMode.K_ZERO,6,Mapsize.SMALL,10,167,44,26.3,44,302
17,SimulationMode.K_ONE,6,Mapsize.SMALL,10,188,44,23.4,44,302
18,SimulationMode.K_TWO,6,Mapsize.SMALL,10,191,44,23.0,44,302
19,SimulationMode.K_TREE,6,Mapsize.SMALL,10,191,44,23.0,44,302
20,SimulationMode.K_ZERO,8,Mapsize.SMALL,10,238,43,18.1,44,302
21,SimulationMode.K_ONE,8,Mapsize.SMALL,10,249,44,17.7,44,302
22,SimulationMode.K_TWO,8,Mapsize.SMALL,10,248,44,17.7,44,302
23,SimulationMode.K_TREE,8,Mapsize.SMALL,10,258,44,17.1,44,302
24,SimulationMode.K_ZERO,10,Mapsize.SMALL,10,312,44,14.1,44,302
25,SimulationMode.K_ONE,10,Mapsize.SMALL,10,303,44,14.5,44,302
26,SimulationMode.K_TWO,10,Mapsize.SMALL,10,296,44,14.9,44,302
27,SimulationMode.K_TREE,10,Mapsize.SMALL,10,312,44,14.1,44,302
28,SimulationMode.K_ZERO,12,Mapsize.SMALL,10,356,44,12.4,44,302
29,SimulationMode.K_ONE,12,Mapsize.SMALL,10,349,44,12.6,44,302
30,SimulationMode.K_TWO,12,Mapsize.SMALL,10,367,44,12.0,44,302
31,SimulationMode.K_TREE,12,Mapsize.SMALL,10,362,44,12.2,44,302
