,name of dissemination case,number of bikes,name of map,seed,collective data collection in area,collected by bike_,Percentage belonging to bike,size of subarea (# edges),size of total map (# edges)
0,SimulationMode.Surrounding,2,Mapsize.SMALL2,10,120,70,58.3,74,372
1,SimulationMode.Surrounding,3,Mapsize.SMALL2,10,160,72,45.0,74,372
2,SimulationMode.Surrounding,4,Mapsize.SMALL2,10,219,73,33.3,74,372
3,SimulationMode.Surrounding,5,Mapsize.SMALL2,10,252,73,29.0,74,372
4,SimulationMode.Surrounding,6,Mapsize.SMALL2,10,316,73,23.1,74,372
5,SimulationMode.Surrounding,8,Mapsize.SMALL2,10,412,71,17.2,74,372
6,SimulationMode.Surrounding,10,Mapsize.SMALL2,10,507,73,14.4,74,372
7,SimulationMode.Surrounding,12,Mapsize.SMALL2,10,584,74,12.7,74,372
8,SimulationMode.Surrounding,16,Mapsize.SMALL2,10,726,74,10.2,74,372
9,SimulationMode.Surrounding,20,Mapsize.SMALL2,10,909,74,8.1,74,372
10,SimulationMode.Surrounding,25,Mapsize.SMALL2,10,1093,72,6.6,74,372
11,SimulationMode.Surrounding,2,Mapsize.MEDIUM,10,129,81,62.8,86,514
12,SimulationMode.Surrounding,3,Mapsize.MEDIUM,10,190,84,44.2,86,514
13,SimulationMode.Surrounding,4,Mapsize.MEDIUM,10,254,82,32.3,86,514
14,SimulationMode.Surrounding,5,Mapsize.MEDIUM,10,304,84,27.6,86,514
15,SimulationMode.Surrounding,6,Mapsize.MEDIUM,10,357,80,22.4,86,514
16,SimulationMode.Surrounding,8,Mapsize.MEDIUM,10,468,78,16.7,86,514
17,SimulationMode.Surrounding,10,Mapsize.MEDIUM,10,542,81,14.9,86,514
18,SimulationMode.Surrounding,12,Mapsize.MEDIUM,10,664,73,11.0,86,514
19,SimulationMode.Surrounding,16,Mapsize.MEDIUM,10,830,83,10.0,86,514
20,SimulationMode.Surrounding,20,Mapsize.MEDIUM,10,1112,86,7.7,86,514
21,SimulationMode.Surrounding,25,Mapsize.MEDIUM,10,1357,79,5.8,86,514
22,SimulationMode.Surrounding,2,Mapsize.SMALL2,11,112,70,62.5,74,372
23,SimulationMode.Surrounding,3,Mapsize.SMALL2,11,157,73,46.5,74,372
24,SimulationMode.Surrounding,4,Mapsize.SMALL2,11,216,74,34.3,74,372
25,SimulationMode.Surrounding,5,Mapsize.SMALL2,11,254,73,28.7,74,372
26,SimulationMode.Surrounding,6,Mapsize.SMALL2,11,311,74,23.8,74,372
27,SimulationMode.Surrounding,8,Mapsize.SMALL2,11,399,70,17.5,74,372
28,SimulationMode.Surrounding,10,Mapsize.SMALL2,11,496,74,14.9,74,372
29,SimulationMode.Surrounding,12,Mapsize.SMALL2,11,579,74,12.8,74,372
30,SimulationMode.Surrounding,16,Mapsize.SMALL2,11,765,74,9.7,74,372
31,SimulationMode.Surrounding,20,Mapsize.SMALL2,11,891,74,8.3,74,372
32,SimulationMode.Surrounding,25,Mapsize.SMALL2,11,1117,74,6.6,74,372
33,SimulationMode.Surrounding,2,Mapsize.MEDIUM,11,130,77,59.2,86,514
34,SimulationMode.Surrounding,3,Mapsize.MEDIUM,11,187,77,41.2,86,514
35,SimulationMode.Surrounding,4,Mapsize.MEDIUM,11,255,81,31.8,86,514
36,SimulationMode.Surrounding,5,Mapsize.MEDIUM,11,323,84,26.0,86,514
37,SimulationMode.Surrounding,6,Mapsize.MEDIUM,11,333,84,25.2,86,514
38,SimulationMode.Surrounding,8,Mapsize.MEDIUM,11,430,77,17.9,86,514
