,Vehicle,Collected Roads,Connections
0,Dalton_1,"{'E44': 'E44', ' E45': ' E45', ' E46': ' E46', ' E48': ' E48', ' -E47': ' -E47', ' -E43': ' -E43', ' -E20': ' -E20', ' E21': ' E21', ' E25': ' E25', ' E26': ' E26', ' E27': ' E27', ' -E15': ' -E15', ' -E14': ' -E14', ' -E12': ' -E12', 'E54': 'E54', ' E55': ' E55', ' E56': ' E56', ' -E40': ' -E40', ' E38': ' E38', ' E41': ' E41', ' E42': ' E42', ' -E13': ' -E13', ' E10': ' E10', ' E11': ' E11', ' -E19': ' -E19', ' -E18': ' -E18', ' -E17': ' -E17', ' -E16': ' -E16', 'E45': 'E45', 'E46': 'E46', 'E48': 'E48', '-E47': '-E47', '-E43': '-E43', '-E20': '-E20', 'E25': 'E25', 'E26': 'E26', 'E27': 'E27', '-E15': '-E15', '-E14': '-E14', '-E12': '-E12'}","{'Janet_8': 35, 'Aaryan_6': 4, 'Shane_12': 5, 'Valerie_17': 2}"
1,Kendra_2,"{'-E69': '-E69', ' -E68': ' -E68', ' -E66': ' -E66', ' -E65': ' -E65', ' -E64': ' -E64', ' E30': ' E30', ' E31': ' E31', ' E32': ' E32', ' E36': ' E36', ' E62': ' E62', ' -E60': ' -E60', ' -E59': ' -E59', ' -E58': ' -E58', '-E59': '-E59', ' -E57': ' -E57', ' E53': ' E53', ' E54': ' E54', ' E55': ' E55', ' E56': ' E56', ' -E40': ' -E40', ' E38': ' E38', ' E39': ' E39', ' E37': ' E37', ' E33': ' E33', ' -E67': ' -E67', ' E68': ' E68', ' E69': ' E69', ' -E70': ' -E70', '-E68': '-E68', '-E66': '-E66', '-E65': '-E65', '-E64': '-E64', 'E30': 'E30', 'E31': 'E31', 'E32': 'E32', 'E36': 'E36', 'E62': 'E62', '-E60': '-E60', '-E58': '-E58'}",{'Leroy_9': 4}
2,Tommy_3,"{'E59': 'E59', ' E60': ' E60', ' E61': ' E61', ' -E37': ' -E37', ' -E36': ' -E36', ' -E39': ' -E39', ' E41': ' E41', ' E42': ' E42', ' -E13': ' -E13', ' E14': ' E14', ' E15': ' E15', ' E16': ' E16', ' E17': ' E17', ' E18': ' E18', ' E44': ' E44', ' E45': ' E45', ' E46': ' E46', ' E48': ' E48', '-E24': '-E24', ' -E23': ' -E23', ' E28': ' E28', ' E12': ' E12', ' E13': ' E13', ' -E42': ' -E42', ' -E41': ' -E41', ' E39': ' E39', ' E36': ' E36', ' E62': ' E62', ' -E60': ' -E60', ' -E59': ' -E59', 'E60': 'E60', 'E61': 'E61', '-E37': '-E37', '-E36': '-E36', '-E39': '-E39', 'E41': 'E41', 'E42': 'E42', '-E13': '-E13', 'E14': 'E14', 'E15': 'E15', 'E16': 'E16', 'E17': 'E17', 'E18': 'E18', 'E44': 'E44', 'E45': 'E45', 'E46': 'E46', 'E48': 'E48'}","{'Aaryan_6': 2, 'Fabio_4': 1}"
3,Fabio_4,"{'E84': 'E84', ' E85': ' E85', ' E86': ' E86', ' E87': ' E87', ' E88': ' E88', ' E89': ' E89', ' E101': ' E101', ' E102': ' E102', ' E103': ' E103', ' -E96': ' -E96', ' E97': ' E97', ' E98': ' E98', ' -E83': ' -E83', ' -E82': ' -E82', ' -E47': ' -E47', ' -E43': ' -E43', ' -E20': ' -E20', ' E21': ' E21', ' -E24': ' -E24', '-E27': '-E27', ' -E26': ' -E26', ' -E25': ' -E25', ' -E23': ' -E23', ' E28': ' E28', ' E12': ' E12', ' E13': ' E13', ' -E42': ' -E42', ' -E41': ' -E41', ' E39': ' E39', ' E36': ' E36', ' E37': ' E37', ' E63': ' E63', ' E72': ' E72', ' E73': ' E73', ' -E79': ' -E79', ' E71': ' E71', ' E70': ' E70', ' -E69': ' -E69', ' -E68': ' -E68', 'E85': 'E85', 'E86': 'E86', 'E87': 'E87', 'E88': 'E88', 'E89': 'E89', 'E101': 'E101', 'E102': 'E102', 'E103': 'E103', '-E96': '-E96', 'E97': 'E97', 'E98': 'E98', '-E83': '-E83', '-E82': '-E82', '-E47': '-E47', '-E43': '-E43', '-E20': '-E20', 'E21': 'E21', '-E24': '-E24'}","{'Shane_12': 3, 'Tommy_3': 1}"
4,Cassandra_5,"{'E103': 'E103', ' -E96': ' -E96', ' E97': ' E97', ' E98': ' E98', ' -E83': ' -E83', ' -E82': ' -E82', ' E49': ' E49', ' E53': ' E53', ' E54': ' E54', ' E55': ' E55', ' E56': ' E56', ' -E40': ' -E40', ' E38': ' E38', ' E41': ' E41', ' E42': ' E42', ' -E13': ' -E13', 'E43': 'E43', ' E47': ' E47', ' E57': ' E57', ' E58': ' E58', ' E92': ' E92', ' E93': ' E93', ' E96': ' E96', ' E99': ' E99', ' E100': ' E100', ' -E87': ' -E87', '-E96': '-E96', 'E97': 'E97', 'E98': 'E98', '-E83': '-E83', '-E82': '-E82', 'E49': 'E49', 'E53': 'E53', 'E54': 'E54', 'E55': 'E55', 'E56': 'E56', '-E40': '-E40', 'E38': 'E38', 'E41': 'E41', 'E42': 'E42', '-E13': '-E13'}","{'Clayton_13': 8, 'Kayne_11': 2, 'Claudia_19': 4}"
5,Aaryan_6,"{'-E58': '-E58', ' -E57': ' -E57', ' -E49': ' -E49', ' -E47': ' -E47', ' -E43': ' -E43', ' -E20': ' -E20', ' E21': ' E21', '-E89': '-E89', ' -E88': ' -E88', ' -E87': ' -E87', ' -E86': ' -E86', ' -E85': ' -E85', ' -E84': ' -E84', ' -E83': ' -E83', ' -E82': ' -E82', ' E49': ' E49', ' E53': ' E53', ' E54': ' E54', ' E55': ' E55', ' E56': ' E56', ' -E40': ' -E40', ' E38': ' E38', ' E39': ' E39', ' E36': ' E36', ' E62': ' E62', ' -E60': ' -E60', ' -E59': ' -E59', ' -E58': ' -E58', '-E57': '-E57', '-E49': '-E49', '-E47': '-E47', '-E43': '-E43', '-E20': '-E20', 'E21': 'E21'}","{'Tommy_3': 2, 'Leroy_9': 6, 'Janet_8': 10, 'Dalton_1': 4, 'Valerie_17': 3}"
6,Eden_7,"{'-E14': '-E14', ' -E12': ' -E12', ' E10': ' E10', ' E11': ' E11', ' -E20': ' -E20', ' -E19': ' -E19', ' E44': ' E44', ' E45': ' E45', ' E46': ' E46', ' E48': ' E48', ' -E47': ' -E47', '-E67': '-E67', ' E68': ' E68', ' E69': ' E69', ' -E70': ' -E70', ' -E71': ' -E71', ' E79': ' E79', ' -E78': ' -E78', ' E80': ' E80', ' E81': ' E81', ' E101': ' E101', ' E102': ' E102', ' E103': ' E103', ' E99': ' E99', ' E100': ' E100', ' E88': ' E88', ' E89': ' E89', '-E12': '-E12', 'E10': 'E10', 'E11': 'E11', '-E20': '-E20', '-E19': '-E19', 'E44': 'E44', 'E45': 'E45', 'E46': 'E46', 'E48': 'E48', '-E47': '-E47'}",{'Valerie_17': 4}
7,Janet_8,"{'E46': 'E46', ' E48': ' E48', ' -E47': ' -E47', ' -E43': ' -E43', ' -E20': ' -E20', ' E21': ' E21', ' -E24': ' -E24', ' -E23': ' -E23', ' E28': ' E28', 'E45': 'E45', ' E46': ' E46', ' E49': ' E49', ' E53': ' E53', ' E54': ' E54', ' E55': ' E55', ' E56': ' E56', ' -E40': ' -E40', ' E38': ' E38', 'E48': 'E48', '-E47': '-E47', '-E43': '-E43', '-E20': '-E20', 'E21': 'E21', '-E24': '-E24', '-E23': '-E23', 'E28': 'E28'}","{'Aaryan_6': 10, 'Dalton_1': 35, 'Shane_12': 4, 'Valerie_17': 2}"
8,Leroy_9,"{'-E58': '-E58', ' -E57': ' -E57', ' E53': ' E53', ' E54': ' E54', ' E55': ' E55', ' E56': ' E56', ' -E40': ' -E40', ' E38': ' E38', ' E39': ' E39', ' E36': ' E36', ' E37': ' E37', ' E33': ' E33', ' E34': ' E34', ' E35': ' E35', '-E43': '-E43', ' -E20': ' -E20', ' -E19': ' -E19', ' E44': ' E44', ' E45': ' E45', ' E46': ' E46', ' E48': ' E48', ' E49': ' E49', ' E57': ' E57', '-E57': '-E57', 'E53': 'E53', 'E54': 'E54', 'E55': 'E55', 'E56': 'E56', '-E40': '-E40', 'E38': 'E38', 'E39': 'E39', 'E36': 'E36', 'E37': 'E37', 'E33': 'E33', 'E34': 'E34', 'E35': 'E35'}","{'Aaryan_6': 6, 'Kendra_2': 4, 'Adriana_15': 1}"
9,Alice_10,"{'E71': 'E71', ' E70': ' E70', ' -E69': ' -E69', ' -E68': ' -E68', ' -E66': ' -E66', ' -E65': ' -E65', ' -E64': ' -E64', ' -E29': ' -E29', ' -E13': ' -E13', ' -E12': ' -E12', ' -E28': ' -E28', ' E22': ' E22', ' -E10': ' -E10', '-E42': '-E42', ' -E41': ' -E41', ' E39': ' E39', ' E36': ' E36', ' E37': ' E37', ' E63': ' E63', ' E72': ' E72', ' E73': ' E73', ' -E78': ' -E78', ' E80': ' E80', ' E81': ' E81', ' -E89': ' -E89', 'E70': 'E70', '-E69': '-E69', '-E68': '-E68', '-E66': '-E66', '-E65': '-E65', '-E64': '-E64', '-E29': '-E29', '-E13': '-E13', '-E12': '-E12', '-E28': '-E28', 'E22': 'E22'}","{'Claudia_19': 4, 'Amber_16': 19}"
